lon,lat
-117.71552,48.27629
-120.07118,47.64708
-117.97244,46.32375
-121.9915,47.20427
-120.01681,47.84083
-123.43074,48.11815
-120.66148,47.59623
-120.1223,48.36348
-121.40009,47.39233
-120.31035,47.42346
-121.9457,48.89012
-117.11409,47.92129
-119.4395,48.70515
-121.08593,47.74622
-121.38953,46.63873
-121.59674,45.51984
-121.40009,47.39233
-121.40009,47.39233
-121.7548,45.30401
-121.7548,45.30401
-121.7548,45.30401
-121.7548,45.30401
-121.54921,44.29095
-121.31531,44.05817
-121.98049,43.56635
-117.91994,45.02847
-117.22961,45.35432
-122.70948,42.19458
-118.09167,45.78056
-120.34579,42.18877
-119.91386,39.25452
-115.67963,36.30376
-119.88537,39.32843
-119.87252,39.33691
-122.31057,41.30987
-120.14518,39.16771
-120.37993,39.32324
-120.35418,39.31736
-120.14518,39.16771
-119.97719,38.93993
-120.16074,39.08627
-120.07224,38.70231
-120.18325,39.32796
-120.12061,38.81135
-120.23571,39.19698
-120.35418,39.31736
-120.37993,39.32324
-120.18325,39.32796
-119.53833,37.8651
-120.53853,38.06778
-120.38217,37.98295
-119.07542,37.77978
-118.97208,37.64855
-119.17484,37.253
-118.4562,35.7069
-118.6004,34.73547
-116.91142,34.2439
-117.90968,34.50641
-117.65898,34.23638
-118.6004,34.73547
-117.63339,34.36083
-116.91142,34.2439
-117.1092,34.20779
-149.53491,61.24672
-149.1599,60.95432
-134.514,58.2675
-149.74496,61.14085
-147.99056,64.94056
-145.75254,60.54241
-147.41036,65.04567
-109.61368,44.93928
-107.45119,44.03413
-110.9593,43.78711
-106.339,42.74529
-110.76243,43.47993
-110.95519,42.08244
-110.76243,43.47993
-106.14168,41.29831
-109.86335,42.86788
-109.05653,44.52634
-111.63798,40.58884
-111.79383,41.74021
-112.85078,37.69276
-111.78926,40.61974
-111.75641,41.92635
-111.47828,40.63735
-112.64105,38.27691
-111.49797,40.64606
-111.81272,41.30074
-111.76994,41.26077
-111.65531,40.58045
-111.78926,40.61974
-111.58877,40.39342
-111.81272,41.30074
-96.33441,30.62798
-105.28501,36.39309
-106.39091,35.89501
-105.41234,36.70649
-105.7887,33.39738
-105.80237,35.79625
-105.67085,36.19114
-105.57307,36.40725
-106.4794,35.19083
-105.74249,32.95731
-111.30802,45.26178
-114.36958,48.01484
-110.89662,45.81736
-112.94784,46.1263
-112.30123,46.75052
-113.95012,45.69351
-113.12858,45.43392
-113.99957,47.01444
-111.30802,45.26178
-109.24682,45.18578
-110.73577,46.9333
-112.18363,47.81245
-115.556,48.38829
-114.33527,48.41064
-111.30802,45.26178
-114.40922,43.65491
-116.10262,43.76406
-116.11713,44.90618
-116.34959,46.04849
-111.77357,43.63186
-116.11713,44.90618
-113.99396,45.40603
-115.80183,47.47021
-114.30112,42.52965
-112.25414,42.7963
-113.57806,42.41269
-114.31532,43.51963
-116.55347,48.27658
-116.11933,47.53826
-116.12237,45.92655
-114.79173,43.34657
-114.36366,43.68074
-116.07721,44.73085
-105.93474,39.57917
-106.81754,39.1911
-106.51651,39.60422
-106.03835,39.48165
-106.151,39.50214
-106.96242,38.91218
-107.88007,37.27528
-105.31721,39.63332
-105.56389,39.9486
-108.03952,37.28611
-106.83172,40.48498
-107.66451,37.81194
-105.93474,39.57917
-105.6975,39.7061
-105.9989,38.53472
-108.13889,39.16625
-107.66451,37.81194
